PLOT,SUBP,TREE,INVYR,LAT,LON,ELEV,SPCD,COMMON_NAME,GENUS,SPECIES,DIA,HT,ACTUALHT,MORTCFAL,TPAMORT_UNADJ,GROWCFAL,TPAGROW_UNADJ,CDIEBKCD,TRANSCD,DRYBIO_STUMP,DRYBIO_BOLE,DRYBIO_TOP,DRYBIO_BG,CARBON_AG,CARBON_BG,P3PANEL,CN,PLT_CN
1129,1,1,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,10.2,66,66,,,,,0,20,20.894415,346.255967,60.758191,98.122302,213.954287,49.061151,5,5.59493E+13,5.59492E+13
1129,1,2,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,11,64,64,,,,,5,25,23.566141,406.928598,70.406363,114.552869,250.450551,57.276435,5,5.59493E+13,5.59492E+13
1129,1,3,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,6.9,30,30,,,,,5,40,8.627827,114.789133,22.141401,33.979989,72.779181,16.989995,5,5.59493E+13,5.59492E+13
1129,1,4,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,12,67,67,,,,,5,25,28.006881,506.864954,86.416489,141.682737,310.644162,70.841369,5,5.59493E+13,5.59492E+13
1129,2,1,2003,44.577888,-72.060681,1079,318,sugar maple,Acer,saccharum,2.8,32,32,,,,,,,,,,6.072238,14.119709,3.036119,5,5.59493E+13,5.59492E+13
1129,2,2,2003,44.577888,-72.060681,1079,318,sugar maple,Acer,saccharum,3.9,36,36,,,,,,,,,,13.170183,31.896022,6.585092,5,5.59493E+13,5.59492E+13
1129,2,3,2003,44.577888,-72.060681,1079,318,sugar maple,Acer,saccharum,3.1,36,36,,,,,,,,,,7.693557,18.145362,3.846779,5,5.59493E+13,5.59492E+13
1129,2,4,2003,44.577888,-72.060681,1079,531,American beech,Fagus,grandifolia,8.9,67,9,,,,,,,7.343657,104.750176,33.638982,28.471916,72.866408,14.235958,5,5.59493E+13,5.59492E+13
1129,2,5,2003,44.577888,-72.060681,1079,375,paper birch,Betula,papyrifera,7.7,68,68,,,,,5,30,15.481472,222.764637,81.707641,62.920516,159.976875,31.460258,5,5.59493E+13,5.59492E+13
1129,2,6,2003,44.577888,-72.060681,1079,318,sugar maple,Acer,saccharum,5,52,52,,,,,5,15,6.043013,58.62048,30.857543,19.292114,47.760518,9.646057,5,5.59493E+13,5.59492E+13
1129,2,7,2003,44.577888,-72.060681,1079,318,sugar maple,Acer,saccharum,7,64,64,,,,,5,10,16.550605,206.596911,80.653832,60.036633,151.900674,30.018317,5,5.59493E+13,5.59492E+13
1129,2,8,2003,44.577888,-72.060681,1079,12,balsam fir,Abies,balsamea,6.1,52,52,,,,,,,4.679232,66.688138,14.070763,20.093292,42.719067,10.046646,5,5.59493E+13,5.59492E+13
1129,3,1,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,2.4,18,18,,,,,,,,,,2.266723,4.323697,1.133362,5,5.59493E+13,5.59492E+13
1129,3,2,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,6.3,33,33,,,,,0,30,7.026442,88.654136,17.581119,26.582681,56.630849,13.291341,5,5.59493E+13,5.59492E+13
1129,3,3,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,12.4,64,64,,,,,0,20,30.020007,552.938216,93.788008,154.175132,338.373116,77.087566,5,5.59493E+13,5.59492E+13
1129,3,4,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,10.1,70,70,,,,,0,20,20.064645,330.716646,58.143596,93.803479,204.462444,46.90174,5,5.59493E+13,5.59492E+13
1129,3,5,2003,44.577888,-72.060681,1079,12,balsam fir,Abies,balsamea,10.8,76,76,,,,,0,15,18.249423,359.187981,65.112364,101.272192,221.274884,50.636096,5,5.59493E+13,5.59492E+13
1129,3,6,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,5.2,39,39,,,,,5,60,4.603329,51.778503,10.96931,16.018212,33.675571,8.009106,5,5.59493E+13,5.59492E+13
1129,3,7,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,7.7,45,45,,,,,5,30,11.246007,159.336315,29.811732,46.51061,100.197027,23.255305,5,5.59493E+13,5.59492E+13
1129,3,8,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,8,46,46,,,,,5,25,10.101235,146.251189,27.094687,42.497982,91.723556,21.248991,5,5.59493E+13,5.59492E+13
1129,3,9,2003,44.577888,-72.060681,1079,541,white ash,Fraxinus,americana,5.9,62,62,,,,,0,25,15.433074,125.319069,52.599289,38.597187,96.675716,19.298594,5,5.59493E+13,5.59492E+13
1129,3,10,2003,44.577888,-72.060681,1079,318,sugar maple,Acer,saccharum,7.2,54,54,,,,,0,25,17.204438,219.017602,83.53796,63.095952,159.88,31.547976,5,5.59493E+13,5.59492E+13
1129,3,11,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,8.3,42,42,,,,,0,25,13.462571,199.005384,36.531996,57.584761,124.499976,28.792381,5,5.59493E+13,5.59492E+13
1129,3,12,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,6.1,42,42,,,,,0,25,6.961484,86.179984,17.268826,25.966231,55.205147,12.983116,5,5.59493E+13,5.59492E+13
1129,3,13,2003,44.577888,-72.060681,1079,261,eastern hemlock,Tsuga,canadensis,8.8,30,30,,,,,40,35,11.828459,180.670683,32.710125,51.947347,112.604634,25.973674,5,5.59493E+13,5.59492E+13
1129,3,14,2003,44.577888,-72.060681,1079,318,sugar maple,Acer,saccharum,6.6,50,50,,,,,0,15,13.343964,159.767863,65.533727,47.315095,119.322777,23.657548,5,5.59493E+13,5.59492E+13
1129,4,1,2003,44.577888,-72.060681,1079,318,sugar maple,Acer,saccharum,8.3,45,45,,,,,0,20,23.394517,327.876782,111.684576,90.722888,231.477938,45.361444,5,5.59493E+13,5.59492E+13
